Year   Jan  Feb  Mar  Apr  May  Jun  Jul  Aug  Sep  Oct  Nov  Dec    J-D D-N    DJF  MAM  JJA  SON  Year
1880   -29  -18  -11  -19  -11  -23  -21   -9  -16  -23  -20  -22    -18 ***   ****  -14  -17  -20  1880
1881   -15  -17    4    4    2  -20   -7   -2  -14  -21  -22  -11    -10 -11    -18    3  -10  -19  1881
1882    14   15    4  -19  -16  -26  -21   -5  -10  -25  -16  -25    -11 -10      6  -10  -17  -17  1882
1883   -32  -39  -13  -17  -20  -13   -8  -15  -21  -14  -22  -16    -19 -20    -32  -17  -12  -19  1883
1884   -15   -8  -37  -43  -37  -41  -35  -26  -27  -24  -30  -29    -29 -28    -13  -39  -34  -27  1884
1885   -59  -30  -25  -42  -42  -44  -35  -31  -24  -19  -19   -5    -31 -33    -39  -36  -37  -21  1885
1886   -42  -45  -38  -28  -26  -39  -22  -34  -25  -28  -31  -26    -32 -30    -31  -31  -31  -28  1886
1887   -72  -52  -34  -39  -32  -24  -23  -32  -22  -33  -23  -33    -35 -34    -50  -35  -26  -26  1887
1888   -37  -36  -41  -22  -22  -18  -10  -16  -10    1    0   -6    -18 -20    -36  -28  -15   -3  1888
1889   -11   18    8    7   -2  -14  -10  -20  -22  -22  -33  -30    -11  -9      0    4  -14  -26  1889
1890   -44  -45  -40  -37  -46  -27  -26  -38  -39  -24  -48  -31    -37 -37    -40  -41  -30  -37  1890
1891   -41  -47  -19  -28  -19  -21  -20  -16  -13  -21  -34   -4    -24 -26    -40  -22  -19  -23  1891
1892   -28  -11  -35  -35  -25  -23  -32  -25  -12  -12  -41  -38    -26 -24    -14  -31  -27  -22  1892
1893   -79  -53  -23  -29  -36  -28  -15  -26  -20  -16  -16  -34    -31 -32    -57  -29  -23  -17  1893
1894   -53  -33  -25  -47  -34  -43  -26  -22  -24  -20  -25  -19    -31 -32    -40  -35  -30  -23  1894
1895   -44  -42  -28  -24  -26  -23  -17  -15   -8   -8  -14  -15    -22 -22    -35  -26  -19  -10  1895
1896   -25  -14  -25  -30  -18  -13   -3   -3   -2   12   -7   -3    -11 -12    -18  -24   -6    1  1896
1897   -14  -14  -13   -2   -4  -16   -7  -11   -7  -12  -19  -19    -11 -10    -10   -6  -11  -13  1897
1898    -3  -29  -51  -33  -31  -20  -23  -25  -21  -33  -37  -25    -28 -27    -17  -38  -23  -30  1898
1899   -19  -40  -34  -20  -23  -33  -17   -6   -2   -5   12  -28    -18 -18    -28  -25  -19    2  1899
1900   -37   -3    2  -12  -10  -12  -12  -10   -4    9   -9   -7     -9 -10    -22   -7  -11   -1  1900
1901   -23   -3    8   -3  -16  -12  -15  -20  -22  -30  -16  -27    -15 -13    -11   -4  -16  -23  1901
1902   -20   -3  -29  -30  -35  -35  -29  -33  -29  -30  -39  -46    -30 -28    -17  -32  -32  -33  1902
1903   -26   -4  -23  -43  -45  -46  -38  -48  -48  -48  -44  -52    -39 -38    -25  -37  -44  -47  1903
1904   -67  -58  -51  -54  -55  -51  -53  -50  -52  -39  -20  -34    -49 -50    -59  -53  -51  -37  1904
1905   -39  -59  -22  -35  -32  -30  -29  -21  -18  -25   -9  -18    -28 -29    -44  -30  -27  -17  1905
1906   -27  -29  -15   -4  -23  -20  -24  -19  -26  -18  -37  -15    -21 -22    -25  -14  -21  -27  1906
1907   -40  -50  -26  -37  -46  -42  -35  -34  -32  -23  -47  -47    -38 -36    -35  -36  -37  -34  1907
1908   -42  -30  -52  -44  -40  -40  -38  -45  -35  -44  -49  -48    -42 -42    -40  -45  -41  -43  1908
1909   -68  -46  -50  -59  -55  -52  -44  -30  -34  -36  -30  -54    -46 -46    -54  -55  -42  -33  1909
1910   -43  -43  -49  -39  -34  -36  -34  -35  -35  -37  -53  -65    -42 -41    -47  -41  -35  -42  1910
1911   -62  -57  -59  -53  -51  -47  -40  -41  -37  -22  -17  -21    -42 -46    -62  -54  -42  -25  1911
1912   -25  -11  -34  -19  -21  -25  -43  -53  -50  -56  -37  -42    -35 -33    -19  -24  -41  -48  1912
1913   -41  -42  -42  -38  -46  -47  -35  -33  -34  -33  -18   -2    -34 -38    -42  -42  -38  -28  1913
1914     5  -10  -21  -28  -22  -26  -23  -13  -12   -3  -17   -7    -15 -14     -2  -24  -21  -11  1914
1915   -16    0   -9    7   -6  -20  -10  -19  -16  -24  -11  -16    -12 -11     -8   -3  -16  -17  1915
1916    -8  -11  -27  -29  -31  -46  -35  -25  -31  -26  -39  -79    -32 -27    -12  -29  -35  -32  1916
